seed,map_hash,outcome,time_s,cumulative_turn_deg,steering_tv_per_s,yaw_reversals,peak_yaw_deg_s,peak_yaw_accel_deg_s2,min_circle_clearance_m,compute_s
2030,bc635989de625eea,success,55.32,361.12190616002226,0.34497425533029014,7,22.301301232224358,21.914320695245816,-0.2580310824619789,8.44044659499923
2031,65d64a9de33d40a8,success,101.48,661.7023738704343,0.4497858081848509,16,23.128978404754033,27.71158690534584,-0.24681560824714738,7.581091160001961
2032,8d22f9eb2ec6226b,success,49.160000000000004,206.4290943443545,0.3203146254672891,4,12.861559538635705,24.164507734357695,-0.23425738686660325,4.095674855998368
2033,8074161f919b7e24,success,109.48,699.9705242653641,0.4040575152170192,18,21.33458451901146,20.766153233545452,-0.20660571457342983,11.412733196000772
2034,6985235c83881fe2,success,80.96000000000001,423.5160021545385,0.36424482780740974,14,21.239054933759046,27.42111571950249,-0.1948218575792947,7.558711948000564
2035,6f38c1731543f430,success,50.76,285.3268079152261,0.43685929140877783,6,22.74188843585318,26.781210120174624,-0.16272327411317122,4.321221728001547
2036,02584acc941b885a,success,63.04,365.7153864476176,0.4138795293226696,10,17.319229128712355,24.98415281209428,-0.24485615513479517,5.914676773998508
2037,f61aff4f3dc2d6cd,success,46.24,284.08621123010477,0.35316096457040547,9,17.25214679589393,24.648553543852042,-0.23959867478652,3.9276431930011313
2038,7e47572eb0c3e626,success,58.28,362.94550649053025,0.3497216533845669,8,23.416898324567835,23.122804844361283,-0.2652414167137245,4.233741905998613
2039,224a2563a528dcef,success,58.76,342.06321240019764,0.27600418806277266,9,16.047382662556846,20.11486437359625,-0.2772657317067636,4.740396566001436
2040,73172fd07e7d130a,success,66.36,372.44278732994377,0.48252391585602133,12,18.29427905930987,24.1832708390074,-0.18006738041658069,5.876801930997317
2041,9dc84f06747ead01,success,47.68,272.2020111362676,0.44142524221763707,7,16.914531743061406,18.688315604013564,-0.2968294504070626,4.437800224997773
2042,48507b7ba1432f34,success,136.72,736.0505917735519,0.42398134580645397,24,19.319307650133222,28.130307718700802,-0.3023712895242672,11.316108931998315
2043,f268b69a88f5da60,success,68.8,434.87309306827046,0.4966515622045988,13,18.9268747253582,28.480280566467396,-0.200737657047156,8.235212476000015
2044,a27acb2a182e3b10,success,68.48,356.443370021938,0.34732906954911613,10,17.77527246875375,20.269571084133506,-0.22330725065861215,7.06084716300029
2045,56f5121d3474f6ee,success,67.04,383.1537681228998,0.3665577684616601,11,16.280959186114654,24.647706149133267,-0.18590120257318346,5.821889127000759
2046,d07980823fdabc68,success,43.2,233.05018717363942,0.23724012362848598,5,16.920268927348445,11.41693536543096,-0.14800472863865224,3.3760208200001216
2047,2aa8b317a2e15237,success,63.120000000000005,323.6777003665051,0.319121610391607,10,16.026683128845356,21.058761173663605,-0.29768581496288066,5.158037741002772
2048,1394c719da189000,success,35.68,101.58842948122326,0.203739307578579,2,12.011124824340001,19.039226851974824,-0.15153949650148918,3.495869202000904
2049,9c8a6ec7ab9f2ca9,success,58.32,406.07344528442684,0.3462490983918654,6,21.74759592820007,26.850928063792566,-0.17583148582847855,4.654492311001377
2050,23b90787a29e0e05,success,61.68,484.1416403749584,0.34193603567406544,8,20.805010260805535,26.118363619082697,-0.18611566375048028,4.592931977997068
2051,c27fa374bd00b2d4,success,40.4,196.93951834678742,0.23337687361525059,5,16.469248137955745,21.628832816764334,-0.26189216003524635,5.235554866001621
2052,cca680d4a663473e,success,53.32,338.4677949166474,0.3523969018918433,6,20.51406944090878,29.48863647480217,-0.21433504077787988,3.8759879899989755
2053,fb2d7ecb9370ff93,success,55.72,377.45968988817174,0.578127277924965,10,20.248822032423615,28.519449714764786,-0.27682989363804894,4.138636714000313
2054,c84c94f1dee05fe1,success,48.92,316.72216166248495,0.3778583154608509,6,19.869115172775285,21.76249567537434,-0.21432937889153394,3.68094722800015
2055,8e7576f012818a38,success,48.04,227.23306121604514,0.4854005572784506,7,16.712803528980672,24.735927468554237,-0.2777766922145429,4.447848990999773
2056,893f4dd327ff2956,success,80.64,556.7555371812134,0.39866757616036613,10,20.37245104937158,22.7565322549767,-0.19126702757331898,7.488588582000375
2057,86ef3e1cbc8745b0,success,44.6,323.7864080080852,0.3235570905337243,4,20.509118564237962,19.105607830917695,-0.12798626011895478,3.90641025199875
2058,37feac633cc17b70,success,88.32000000000001,493.19589241029036,0.46069305244660286,17,17.535475794246864,23.713792396326287,-0.23831785964889007,8.17291108399877
2059,730f91e6bd97af91,success,96.0,485.8603999409462,0.35760719133960645,15,17.963272053759574,17.84286167226795,-0.2569617359025227,7.917070095998497
2060,0d48a34bab34b2b8,success,40.36,245.02884908832561,0.3472164777576273,7,18.248221099264715,28.64215742090077,-0.2081795653866422,3.121466522999981
2061,ecaaf7d40c9968cb,success,59.64,313.6806602836655,0.26211513210765014,8,19.543709705099367,24.685891833315715,-0.24887713345167056,5.352007623998361
2062,a84dd8028724a972,success,94.92,391.73544331281744,0.34980529139657157,16,17.29465818439856,28.654205724674547,-0.22850238219267355,10.539961268001207
2063,9176ccc91a801cfa,success,63.96,352.6038950355138,0.4919275091793896,9,18.968146467543633,20.75163832898339,-0.2861962653359596,8.773849186000007
2064,74dfc4b642d82e5c,success,60.24,439.8297610238562,0.40258475397952515,9,21.70370116316879,28.04816170148671,-0.2800906720917952,5.9727477919986995
2065,199fc50ce5b7364f,success,138.36,743.2248398966158,0.4518970381146279,23,17.829184253524083,24.79702133237307,-0.2056090061693476,20.522412775000703
2066,8a169ad65020046b,success,46.76,227.78951597263764,0.34733756625011497,6,19.402090993068622,16.43703790911764,-0.24260338925641392,4.008598317999713
2067,9a168fc2c661ab59,success,91.72,474.36220173646507,0.40498555618067755,20,20.269645395798513,29.937383687920928,-0.2174177718423657,7.189262736003002
2068,d5538baec457acd6,success,39.92,144.99761245559765,0.39329528187827373,4,15.90165152237683,22.717325494744852,-0.19290819688685076,4.074513553998258
2069,8ad7d98852fed39b,success,84.32000000000001,351.24474563347644,0.35108271587223466,13,25.483925163308932,30.961722228657905,-0.1696873965434692,6.291823786999885
2070,936e5acc634398f1,success,50.56,387.05241673243165,0.4339444484226157,9,22.875420322477268,30.989483023490084,-0.18409324650976203,6.0604213059996255
2071,5107ff5751e542bb,success,40.64,219.99407435380823,0.29500215246973627,5,16.390187882986552,19.050080569849754,-0.21209291891584128,4.719158612999308
2072,14ea6756ae1d155f,success,63.6,338.84085164762087,0.5194449169073297,12,17.93313288828183,26.618052403137792,-0.17208535089285162,6.012210304998007
2073,b9d8466561f9e4d5,success,112.60000000000001,626.9639198930577,0.4804387305918551,27,20.604168710614196,30.98903492976918,-0.25946356729965175,10.143050304999633
2074,9f67a40194afec91,success,70.0,452.9156354922243,0.469486453094418,8,18.984918524877124,20.245059369843485,-0.1706963631995501,5.079656650999823
2075,d947157fc36b990b,success,50.56,245.93338279512122,0.45804419253257755,8,15.524847628543032,23.690273289705996,-0.24821409558537966,3.582982007999817
2076,244c1102a66fd7f3,success,64.68,434.87813707998805,0.48184624151685795,10,23.571705906027976,30.220471900102147,-0.28478795163647747,5.0137910039993585
2077,85e1c336f998d5f9,success,48.36,274.0122865326764,0.3104658175129975,4,19.948391493256498,18.896094052421297,-0.20502784546923394,5.853893225998036
2078,10ec2c7aa076d88e,success,47.160000000000004,260.9813800439356,0.2987921420804847,5,16.24211567192558,21.051727475875644,-0.16125901119759034,4.080349239000498
2079,c445cd93a157310c,success,54.88,291.2196035805386,0.3798572927930677,7,19.22184962630694,26.78749011868048,-0.17406333385514658,7.206304123999871
2080,2e18dfd7fbf98af1,success,81.56,439.67760006920696,0.4238636112202259,13,18.549142924978995,28.87482838084699,-0.24165786942392997,7.321146457998111
2081,321f802722680804,success,57.72,395.1370379351818,0.49068102498269134,9,21.80589748878469,24.512270265194164,-0.22157656689139016,7.696067255001253
2082,5649fb8636262e7a,success,63.6,332.5857120042886,0.43218566099790734,8,20.897427934814402,28.711456958060314,-0.2543042579401758,5.786155558002065
2083,40039e72736d1482,success,43.64,239.96410705575346,0.2816041027403346,6,18.931462793701687,19.860844134817796,-0.14545963811047827,3.16547139999966
2084,0ac8c3920dfc2f70,success,49.92,316.04149382199256,0.2866585945670978,5,17.047036827416775,21.108784908965067,-0.14769231963495272,4.26404770100271
2085,7d61d25790fb68c0,success,113.64,697.0263012382444,0.4389444219164804,18,19.892702879965952,27.698923489544214,-0.2650334247055919,12.411773195999558
2086,4d81986cf969cda6,success,64.44,310.44619777313164,0.33713756742782836,5,17.019535722726577,23.765997359945324,-0.1955052937131721,6.943816869003058
2087,c7299ae8b6dbd197,success,135.44,680.9459768629108,0.3308853700372254,19,17.432023630471182,21.607934614701705,-0.24977972954322566,12.309561865000433
2088,d518803cb039d061,success,59.32,303.5860114788293,0.25699430866956097,7,15.312829418768908,22.744969359926863,-0.27459084007570467,5.1014465450025455
