seed,map_hash,outcome,time_s,cumulative_turn_deg,steering_tv_per_s,yaw_reversals,peak_yaw_deg_s,peak_yaw_accel_deg_s2,min_circle_clearance_m,compute_s
2019,fbed22451aa2c8ab,success,49.24,422.0182924640487,0.20716429198543584,13,63.31872265207226,285.1999560408617,-0.25665382385253904,1.6492407429977902
2020,b3624f590712f9f1,success,51.96,612.1677835356404,0.29119392159718266,17,48.96877084972822,269.4843439077384,-0.20830223083496094,1.7921711540002434
2021,daf22d5727fa4d07,success,50.04,377.8282196107561,0.1880595730029517,14,37.55596935236996,248.2221950130399,-0.24866981506347657,1.7634717079999973
2022,2414374d358a97f6,success,49.24,433.348689886816,0.22130675761787194,10,61.72776309407195,285.24593255873117,-0.23880813598632813,1.490615157999855
2023,58aeeacf1cc4598d,success,49.96,446.35363031274505,0.19517442712215805,13,45.4887893252855,167.14787769748924,-0.2896349334716797,1.5381980130005104
2024,f2d47164532aa4e9,success,47.56,435.42594477173026,0.1863670503271037,10,49.620416924013824,285.4963284121063,-0.0921148681640625,1.64180679600031
2025,7de5bb4a16bf81b3,success,47.4,316.1695165525638,0.2188429602604548,14,57.07108655439403,251.1296299663709,-0.17573463439941406,1.6576194990011572
2026,3c82dec880a49fbb,success,50.52,459.23855273230913,0.2509319073036136,11,64.52812946389936,243.95169131555147,-0.2682019805908203,1.6153916749972268
2027,fbaf304bda02cd1b,success,50.88,336.8534994330198,0.14920039278156352,17,24.244701250283565,90.13431756772573,-0.10379150390625,1.704836469001748
2028,d4f063d80942de4c,collision,21.68,155.23252272257332,0.3123403641969186,6,48.846094970146986,259.59896693736334,-0.22501144409179688,0.8141332560007868
2029,0a658b4da82053ff,success,49.6,390.1171013926024,0.196478521496418,10,64.39831813805188,285.2068457087829,-0.23522689819335937,1.7784363930004474
2030,bc635989de625eea,success,51.24,526.6884649328158,0.2395204470873135,14,55.71039442574702,241.10179443671692,-0.2781047821044922,1.7913877040009538
2031,65d64a9de33d40a8,success,49.36,456.96644906838395,0.2413275138613869,19,60.77775227013759,285.2048269244993,-0.27181175231933596,1.7773837800014007
2032,8d22f9eb2ec6226b,success,49.56,412.520980935704,0.18505051972034828,15,42.16203179531948,222.61446508386462,-0.20973190307617187,1.6174548880007933
2033,8074161f919b7e24,success,53.800000000000004,632.9462469129409,0.31909413566487427,15,56.40672292409081,285.1121887958971,-0.20274925231933594,1.7034391170018353
2034,6985235c83881fe2,success,50.28,421.1424114344062,0.19740846677010548,17,39.881836062395166,197.4241460859077,-0.10521217346191407,1.6660431349991995
2035,6f38c1731543f430,success,48.68,392.8244108306924,0.19758749223676195,15,32.220818832925715,138.67523853478426,-0.15641143798828125,1.6085142389965768
2036,02584acc941b885a,success,51.160000000000004,414.77123063296875,0.20223835357949077,13,41.71056033900219,202.6457468336489,-0.24376564025878905,1.656496628998866
2037,f61aff4f3dc2d6cd,success,48.480000000000004,525.4824447787397,0.26150201999608474,11,56.397663497944635,262.4340482531929,-0.1980084228515625,1.4823890939987905
2038,7e47572eb0c3e626,success,48.120000000000005,436.3926123392741,0.21941961844162186,11,57.97660969206967,285.200506726209,-0.2073662567138672,1.6287647370008926
