x,y,theta,v,omega,distance,heading_error,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8
236.2218316588065,104.57734978311426,0.035464824921019905,4.0,0.0,713.7928451109229,-0.041877583450850825,1.0,0.65656567,1.0,0.7777778,1.0,1.0,1.0,1.0,0.8787879
240.21931641483954,104.7191793473227,-0.0645351750789801,4.0,-0.1,709.796371816826,0.057886487788553535,0.93939394,0.6666667,1.0,1.0,0.8080808,1.0,1.0,1.0,0.969697
244.2109897277043,104.46121779328126,-0.1645351750789801,4.0,-0.1,705.8031095747211,0.1582143648712337,0.85858583,1.0,0.61616164,1.0,0.7171717,1.0,1.0,1.0,1.0
248.15696811713036,103.8060425875672,-0.1645351750789801,4.0,0.0,701.8533517500056,0.1591123025764314,0.85858583,1.0,0.5959596,1.0,0.6969697,1.0,1.0,1.0,1.0
252.10294650655644,103.15086738185315,-0.1645351750789801,4.0,0.0,697.9041662292097,0.16002040322568814,0.8484849,1.0,0.57575756,1.0,0.6666667,1.0,1.0,1.0,1.0
256.0489248959825,102.49569217613909,-0.1645351750789801,4.0,0.0,693.9555627829925,0.16093883881521842,0.8484849,0.5858586,0.56565654,1.0,0.6363636,1.0,1.0,1.0,1.0
259.99490328540855,101.84051697042503,-0.0645351750789801,4.0,0.1,690.0075514042082,0.061867785208799625,0.90909094,0.5151515,1.0,1.0,0.6363636,1.0,1.0,1.0,1.0
263.9865765982733,101.5825554163836,-0.0645351750789801,4.0,0.0,686.0152487875198,0.06222829221765697,0.90909094,0.4949495,1.0,1.0,0.61616164,1.0,1.0,1.0,1.0
267.97824991113805,101.32459386234217,-0.1645351750789801,4.0,-0.1,682.0230363728004,0.16259301971996476,0.83838385,0.47474748,1.0,1.0,0.5555556,1.0,1.0,1.0,1.0
271.9242283005641,100.66941865662811,-0.0645351750789801,4.0,0.1,678.0761021353896,0.06354794257917805,0.47474748,0.47474748,1.0,0.57575756,0.5555556,1.0,1.0,1.0,1.0
275.91590161342884,100.41145710258668,-0.1645351750789801,4.0,-0.1,674.084223962098,0.16392478083815595,0.82828283,0.43434343,1.0,0.94949496,0.5050505,1.0,1.0,1.0,1.0
279.8618800028549,99.75628189687262,-0.1645351750789801,4.0,0.0,670.1381643152566,0.16489885845276467,0.44444445,0.41414142,1.0,0.9191919,0.47474748,1.0,1.0,1.0,1.0
283.80785839228093,99.10110669115856,-0.2645351750789801,4.0,-0.1,666.1927480459841,0.26588447463865506,0.7676768,0.3838384,1.0,1.0,0.47474748,0.46464646,1.0,1.0,1.0
287.66871494656823,98.05526412785524,-0.1645351750789801,4.0,0.1,662.3341401121813,0.16747136475832763,0.37373737,0.4040404,1.0,0.85858583,0.42424244,1.0,1.0,1.0,1.0
291.6146933359943,97.40008892214118,-0.0645351750789801,4.0,0.1,658.390440064761,0.06848407481498106,0.35353535,1.0,1.0,0.42424244,0.41414142,1.0,1.0,1.0,1.0
295.606366648859,97.14212736809975,-0.0645351750789801,4.0,0.0,654.399873782451,0.06890235458307845,0.35353535,1.0,1.0,0.3838384,0.3838384,1.0,1.0,1.0,1.0
299.59803996172377,96.88416581405832,0.035464824921019905,4.0,0.1,650.4094233975287,-0.03067423303868825,0.94949496,1.0,0.7676768,0.34343433,1.0,1.0,1.0,1.0,0.94949496
303.5955247177568,97.02599537826676,0.1354648249210199,4.0,0.1,646.4113167081795,-0.13086401575060283,1.0,1.0,0.32323232,0.33333334,1.0,1.0,1.0,1.0,0.86868685
